system:index,0_Rain_jun-oct_2019,0_Temp_jun-oct_2019,1_Rain_may-sep_2019,1_Temp_may-sep_2019,2_Rain_jun-oct_2020,2_Temp_jun-oct_2020,3_Rain_may-sep_2020,3_Temp_may-sep_2020,Map,UNIQUE_ID,elevation,lat,lon,.geo
617,907.9782104492188,30.906824111938477,686.8656616210938,32.021995544433594,726.441650390625,31.8251895904541,713.305908203125,32.41576385498047,40.0,617.0,64.0,10.804166666666665,78.825,"{""type"":""Point"",""coordinates"":[78.825,10.804166666666667]}"
618,886.3211669921875,30.906824111938477,680.7234497070312,32.021995544433594,662.9083862304688,31.8251895904541,652.9860229492188,32.41576385498047,10.0,618.0,60.0,10.825,78.825,"{""type"":""Point"",""coordinates"":[78.825,10.825000000000001]}"
619,886.3211669921875,30.906824111938477,680.7234497070312,32.021995544433594,662.9083862304688,31.8251895904541,652.9860229492188,32.41576385498047,10.0,619.0,64.0,10.845833333333333,78.825,"{""type"":""Point"",""coordinates"":[78.825,10.845833333333333]}"
620,886.3211669921875,30.3686466217041,680.7234497070312,31.50139808654785,662.9083862304688,31.28118324279785,652.9860229492188,31.995141983032227,50.0,620.0,58.0,10.866666666666665,78.825,"{""type"":""Point"",""coordinates"":[78.825,10.866666666666665]}"
621,892.357666015625,30.3686466217041,682.667724609375,31.50139808654785,628.909423828125,31.28118324279785,625.0462036132812,31.995141983032227,40.0,621.0,56.0,10.8875,78.825,"{""type"":""Point"",""coordinates"":[78.825,10.887500000000001]}"
622,892.357666015625,30.3686466217041,682.667724609375,31.50139808654785,628.909423828125,31.28118324279785,625.0462036132812,31.995141983032227,40.0,622.0,62.0,10.908333333333333,78.825,"{""type"":""Point"",""coordinates"":[78.825,10.908333333333333]}"
623,870.2683715820312,30.3686466217041,677.6471557617188,31.50139808654785,617.4208984375,31.28118324279785,612.9376220703125,31.995141983032227,10.0,623.0,66.0,10.929166666666665,78.825,"{""type"":""Point"",""coordinates"":[78.825,10.929166666666665]}"
624,870.2683715820312,30.3686466217041,677.6471557617188,31.50139808654785,617.4208984375,31.28118324279785,612.9376220703125,31.995141983032227,40.0,624.0,84.0,10.95,78.825,"{""type"":""Point"",""coordinates"":[78.825,10.95]}"
625,751.1345825195312,30.3686466217041,579.6336669921875,31.50139808654785,514.92724609375,31.28118324279785,516.8726806640625,31.995141983032227,20.0,625.0,105.0,10.970833333333333,78.825,"{""type"":""Point"",""coordinates"":[78.825,10.970833333333333]}"
626,751.1345825195312,30.3686466217041,579.6336669921875,31.50139808654785,514.92724609375,31.28118324279785,516.8726806640625,31.995141983032227,40.0,626.0,88.0,10.991666666666665,78.825,"{""type"":""Point"",""coordinates"":[78.825,10.991666666666665]}"
627,751.1345825195312,30.3686466217041,579.6336669921875,31.50139808654785,514.92724609375,31.28118324279785,516.8726806640625,31.995141983032227,40.0,627.0,91.0,11.0125,78.825,"{""type"":""Point"",""coordinates"":[78.825,11.0125]}"
628,737.1110229492188,30.3686466217041,567.6923828125,31.50139808654785,538.809326171875,31.28118324279785,532.7891845703125,31.995141983032227,40.0,628.0,97.0,11.033333333333333,78.825,"{""type"":""Point"",""coordinates"":[78.825,11.033333333333335]}"
629,737.1110229492188,30.3686466217041,567.6923828125,31.50139808654785,538.809326171875,31.28118324279785,532.7891845703125,31.995141983032227,20.0,629.0,113.0,11.054166666666665,78.825,"{""type"":""Point"",""coordinates"":[78.825,11.054166666666664]}"
630,780.5175170898438,30.3686466217041,608.8572387695312,31.50139808654785,580.4585571289062,31.28118324279785,568.3112182617188,31.995141983032227,40.0,630.0,123.0,11.075,78.825,"{""type"":""Point"",""coordinates"":[78.825,11.075]}"
631,780.5175170898438,30.3686466217041,608.8572387695312,31.50139808654785,580.4585571289062,31.28118324279785,568.3112182617188,31.995141983032227,50.0,631.0,122.0,11.095833333333333,78.825,"{""type"":""Point"",""coordinates"":[78.825,11.095833333333333]}"
